set TABLES:=1 2 3 4 5; #new problem more difficult
set GUESTS:=1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17; #example problem from paper

param A:=4; # maximum number of people at a table
param B:=1; # minimum people at each table the guest knows

param C:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17:=
1 1 -50 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
2 -50 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
3 1 1 1 -50 1 1 1 1 10 0 0 0 0 0 0 0 0
4 1 1 -50 1 1 1 1 1 1 0 0 0 0 0 0 0 0
5 1 1 1 1 1 -50 1 1 1 0 0 0 0 0 0 0 0
6 1 1 1 1 -50 1 1 1 1 0 0 0 0 0 0 0 0
7 1 1 1 1 1 1 1 -50 1 0 0 0 0 0 0 0 0
8 1 1 1 1 1 1 -50 1 1 0 0 0 0 0 0 0 0
9 1 1 10 1 1 1 1 1 1 0 0 0 0 0 0 0 0
10 0 0 0 0 0 0 0 0 0 1 -50 1 1 1 1 1 1
11 0 0 0 0 0 0 0 0 0 -50 1 1 1 1 1 1 1
12 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
13 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
14 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
15 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
16 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
17 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1; # connection matrix between all the people at the wedding

param n:=5; # maximum number of tables
param m:=17; # maximum number of guests
